Age,Euler_lat,Euler_lon,Euler_angle
1100,64.47,-167.3,-175.54
1050,43.54,179.56,-168.63
1000,24.21,175.25,-150.19
900,37.73,160.5,-163.44
825,41.45,-174.49,128.25
780,36.51,176.68,-129.83
750,49.11,-170.92,-137.63
720,40.4,-170.86,-138.02
630,32.71,-157.56,-144.78
600,34.13,-158.66,-132.4
600,24.83,-162.41,-143.19
550,38.65,-165.71,-112.45
530,35.1,-162.76,-127.39
