
"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","Age","B","N","P","R%","D","I","alfa95","k","Plat","Plon","A95","AV","Authors","Journal","Year","Vol","Pages","DOI"
"1752","i","Sept-Iles layered intrusion","CA","A","Laurentia-Grenville","50.2","293.5","565","10","51","N","0","333.0","-29.0","8.0","34.0","20.0","141.0","6.7","5","Tanczyk, E.I., Lapointe, P., Morris, W.A., Schmidt, P.W.","Can. J. Earth Sci.","1987","24","1431-1438","http://dx.doi.org/10.1139/e87-135"
"10895","i","Chilled margin of Mattawa dyke","CA","","Laurentia-Grenville","46.3","281.2","570","1","4*","N","0","293.0","57.0","12.0","56.0","40.9","206.4","14.9","3","Hyodo, H., Dunlop, D.J.","J. Geophys. Res.","1993","98","7997-8017","http://dx.doi.org/10.1029/92JB02915"
"10894","i","Mattawa Grenvillian dyke","CA","","Laurentia-Grenville","46.3","281.2","570","1","24*","N","0","298.0","72.0","7.0","19.1","51.5","230.5","11.6","3","Hyodo, H., Dunlop, D.J.","J. Geophys. Res.","1993","98","7997-8017","http://dx.doi.org/10.1029/92JB02915"
"10897","i","Mattawa baked gneiss (corrected by dyke effect)","CA","","Laurentia-Grenville","46.3","281.2","570","1","26*","N","0","300.0","53.0","9.0","10.6","43.4","197.6","10.4","3","Hyodo, H., Dunlop, D.J.","J. Geophys. Res.","1993","98","7997-8017","http://dx.doi.org/10.1029/92JB02915"
"6938","s","Double Mer formation","CA","","Laurentia-Grenville","54.0","300.5","571","5","25","R","100","110.8","50.1","11.7","24.6","-13.7","176.2","12.8","3","Murthy, G.S., Gower, C., Tubett, M., P?tzold, R.","Can. J. Earth Sci.","1992","29","1224-1234","http://dx.doi.org/10.1139/e92-098"
"6458","i","Callander alkaline complex","CA","","Laurentia-Grenville","46.2","280.6","575","26","205","M","88","82.2","82.7","3.1","83.0","-46.3","121.4","6","5","Symons, D.T.A., Chiasson, A.D.","Can. J. Earth Sci.","1991","28","355-363","http://dx.doi.org/10.1139/e91-032"
"10835","i","Western Grenville dykes","CA","A","Laurentia-Grenville","46.1","279.4","575","18","104","R","100","108.2","74.6","5.6","38.8","-31.8","132.3","9.7","2","Halls, H.C., Lovette, A., Hamilton, M., S?derlund, U.","Prec. Res.","2015","257","137-166","http://dx.doi.org/10.1016/j.precamres.2014.11.029"
"2989","i","Grenville diabases","CA","A","Laurentia-Grenville","46.0","282.0","581","11","55","M","91","118.9","45.2","11.3","14.0","-3.0","151.0","11.7","4","Murthy, G.S.","Can. J. Earth Sci.","1971","8","802-812","http://dx.doi.org/10.1139/e71-075"
"2990","i","Grenville diabases","CA","B","Laurentia-Grenville","46.0","282.0","581","12","60","M","25","316.0","75.0","9.0","21.0","60.0","240.0","14","5","Murthy, G.S.","Can. J. Earth Sci.","1971","8","802-812","http://dx.doi.org/10.1139/e71-075"
"10018","m","Baie des Moutons syenites","CA","B","Laurentia-Grenville","50.8","301.0","583","6","56","N","0","163.1","6.0","21.7","10.5","-34.2","321.5","15.4","2","McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.","Prec. Res.","2011","187","58-78","http://dx.doi.org/10.1016/j.precamres.2011.02.004"
"10017","m","Baie des Moutons syenites","CA","A","Laurentia-Grenville","50.8","301.0","583","8","87","R","100","98.6","78.0","6.6","71.7","-42.6","152.7","12","3","McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.","Prec. Res.","2011","187","58-78","http://dx.doi.org/10.1016/j.precamres.2011.02.004"
"10836","i","Western Grenville dykes","CA","B","Laurentia-Grenville","45.9","279.4","588","5","32","N","0","131.2","-70.9","11.3","46.5","58.4","224.5","18.4","5","Halls, H.C., Lovette, A., Hamilton, M., S?derlund, U.","Prec. Res.","2015","257","137-166","http://dx.doi.org/10.1016/j.precamres.2014.11.029"
"2102","i","Colorado intrusive rocks","US","I","Laurentia-Yavapai","38.5","254.5","595","12","38","M","75","116.0","13.0","10.0","22.0","15.0","142.0","7.3","3","French, R.B., Alexander, D.H., Van der Voo, R.","Geol. Soc. Am. Bull.","1977","88","1785-1792","http://dx.doi.org/10.1130/0016-7606(1977)88<1785:POUPTL>2.0.CO;2"
"2103","i","Colorado intrusive rocks","US","II","Laurentia-Yavapai","38.5","254.8","595","9","11","M","33","88.0","-21.0","8.0","39.0","5.0","174.0","6.1","2","French, R.B., Alexander, D.H., Van der Voo, R.","Geol. Soc. Am. Bull.","1977","88","1785-1792","http://dx.doi.org/10.1130/0016-7606(1977)88<1785:POUPTL>2.0.CO;2"
"2101","i","Colorado intrusive rocks","US","III","Laurentia-Yavapai","38.5","254.5","595","7","10","M","86","159.0","-2.0","16.0","15.0","48.0","107.0","11.3","2","French, R.B., Alexander, D.H., Van der Voo, R.","Geol. Soc. Am. Bull.","1977","88","1785-1792","http://dx.doi.org/10.1130/0016-7606(1977)88<1785:POUPTL>2.0.CO;2"
"9166","i","Haliburton intrusions","CA","B","Laurentia-Grenville","45.0","281.4","600","10","17","N","0","305.7","14.1","12.3","7.6","29.9","169.9","9","2","Warnock, A.C., Kodama, K.P., Zeitler, P.K.","J. Geophys. Res.","2000","105","19435-19453","http://dx.doi.org/10.1029/2000JB900114"
"154","i","Igneous rocks, Michigan Basin borehole","US","","Laurentia-Superior","43.2","275.4","600","1","13*","R","100","102.3","43.6","5.0","69.0","-8.8","158.5","4.9","1","Van der Voo, R., Watts, D.R.","J. Geophys. Res.","1978","83","5844-5848","http://dx.doi.org/10.1029/JB083iB12p05844"
"8028","i","Pre-Grenvillian mafic intrusions","CA","A","Laurentia-Grenville","54.5","301.5","600","9","31","N","0","331.0","-49.0","9.0","37.0","2.0","146.0","9.4","2","Park, J.K., Gower, C.F.","Can. J. Earth Sci.","1996","33","746-756","http://dx.doi.org/10.1139/e96-057"
"6937","i","Long Range dykes","CA","5","Laurentia-Grenville","53.7","303.4","615","1","5*","R","100","279.1","28.1","7.3","31.0","17.4","215.2","5.9","3","Murthy, G.S., Gower, C., Tubett, M., P?tzold, R.","Can. J. Earth Sci.","1992","29","1224-1234","http://dx.doi.org/10.1139/e92-098"
"6935","i","Long Range dykes","CA","1","Laurentia-Grenville","53.6","302.5","615","3","17","R","100","215.3","-75.5","15.2","67.0","-69.6","172.2","26.7","4","Murthy, G.S., Gower, C., Tubett, M., P?tzold, R.","Can. J. Earth Sci.","1992","29","1224-1234","http://dx.doi.org/10.1139/e92-098"
"6936","i","Long Range dykes","CA","3","Laurentia-Grenville","53.7","303.3","615","1","6*","R","100","249.8","-49.2","16.4","43.0","-35.5","209.4","17.7","3","Murthy, G.S., Gower, C., Tubett, M., P?tzold, R.","Can. J. Earth Sci.","1992","29","1224-1234","http://dx.doi.org/10.1139/e92-098"
"913","i","Cheneaux metagabbro","CA","3","Laurentia-Grenville","45.6","283.4","615","9","109","R","100","135.0","30.0","8.4","38.9","16.0","148.0","7","2","Seguin, M.K., Brun, J.","Prec. Res.","1984","26","307-331","http://dx.doi.org/10.1016/0301-9268(84)90006-8"
"6934","i","Long Range dykes","CA","2, 4, 6","Laurentia-Grenville","53.7","303.3","615","12","69","N","0","124.8","55.5","18.0","48.0","-11.6","166.0","21.7","4","Murthy, G.S., Gower, C., Tubett, M., P?tzold, R.","Can. J. Earth Sci.","1992","29","1224-1234","http://dx.doi.org/10.1139/e92-098"
"1645","i","Buckingham volcanics","CA","","Laurentia-Grenville","45.6","284.6","670","11","76","N","0","288.7","-49.3","7.3","39.6","-9.5","160.8","7.9","4","Dankers, P., Lapointe, P.","Can. J. Earth Sci.","1981","18","1174-1186","http://dx.doi.org/10.1139/e81-111"
"2077","s","Spokane formation","US","Int.","Laurentia-Wyoming","48.2","246.2","675","11","28","M","21","267.9","15.5","9.6","23.2","5.0","163.5","7.1","5","Vitorello, I., Van der Voo, R.","Can. J. Earth Sci.","1977","14","67-73","http://dx.doi.org/10.1139/e77-007"
"2145","s","Sayunei formation, Rapitan group","CA","Z","Laurentia-Slave","63.5","233.0","675","17","1000","N","0","267.0","15.0","4.0","76.0","5.0","149.0","2.9","2","Morris, W.A.","Geology","1977","5","85-88","http://dx.doi.org/10.1130/0091-7613(1977)5<85:POGUPR>2.0.CO;2"
"8148","s","Sayunei formation, Rapitan group","CA","R3","Laurentia-Slave","63.0","233.0","700","6","22","N","0","224.0","7.0","12.0","84.0","16.0","187.0","8.5","4","Park, J.K.","Can. J. Earth Sci.","1997","34","34-49","http://dx.doi.org/10.1139/e17-003"
"2143","s","Sayunei formation, Rapitan group","CA","X","Laurentia-Slave","63.5","233.0","700","19","1000","N","0","220.0","26.0","5.0","54.0","-7.0","194.0","4","2","Morris, W.A.","Geology","1977","5","85-88","http://dx.doi.org/10.1130/0091-7613(1977)5<85:POGUPR>2.0.CO;2"
"11265","i","Mount Harper volcanics","CA","HT1","Laurentia-Slave","64.7","220.1","716","7","?","M","86","190.0","42.1","14.3","29.5","0.4","210.7","13.8","5","Eyster, A.E., Fu, R.R., Strauss, J.V., Weiss, B.P., Roots, C.F., Halverson, G.P., Evans, D.A.D., Macdonald, F.A.","Geol. Soc. Am. Bull.","2017","129","38-58","http://dx.doi.org/10.1130/B31425.1"
"6643","i","Mount Harper volcanics","CA","HVA","Laurentia-Slave","64.8","220.0","717","6","26","M","?","180.0","-6.0","18.0","15.0","-29.0","220.0","12","4","Park, J.K., Roots, C.F., Brunet, N.","Geol. Surv. Can. Paper","1992","92-1E","1-10",""
"2965","i","Coronation sills","CA","","Laurentia-Slave","67.8","244.0","723","13","78","R","100","82.0","-4.0","13.0","11.3","-1.0","163.0","9.2","4","Robertson, W.A., Baragar, W.R.A.","Can. J. Earth Sci.","1972","9","123-140","http://dx.doi.org/10.1139/e72-011"
"2966","i","Franklin intrusions, mean","CA","","Laurentia-Slave","65.0","245.0","723","37","192","M","49","262.7","17.0","4.5","6.1","4.8","165.3","3.4","5","Robertson, W.A., Baragar, W.R.A.","Can. J. Earth Sci.","1972","9","123-140","http://dx.doi.org/10.1139/e72-011"
"2080","i","Aston Bay dykes","CA","","Laurentia-Rae","73.6","264.1","723","3","20","R","100","95.0","36.5","19.9","39.3","-18.0","164.4","17.7","2","Jones, D.L., Fahrig, W.F.","Can. J. Earth Sci.","1978","15","1605-1612","http://dx.doi.org/10.1139/e78-165"
"6599","s","Redstone River formation","CA","D","Laurentia-Slave","63.2","233.0","725","3","12","N","0","303.0","45.0","15.0","67.0","39.0","127.0","15.1","3","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"6602","s","Coppercap formation","CA","B","Laurentia-Slave","62.7","233.4","725","1","3*","N","0","275.0","42.0","7.0","283.0","24.0","151.0","6.8","3","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"6644","i","Mount Harper volcanics","CA","HVB","Laurentia-Slave","64.8","220.0","725","3","7","N","0","228.0","-13.0","38.0","11.0","-24.0","168.0","24","3","Park, J.K., Roots, C.F., Brunet, N.","Geol. Surv. Can. Paper","1992","92-1E","1-10",""
"8147","s","Sayunei formation, Rapitan group","CA","R2","Laurentia-Slave","63.0","233.0","725","10","25","N","0","261.0","12.0","8.0","34.0","1.0","154.0","6","5","Park, J.K.","Can. J. Earth Sci.","1997","34","34-49","http://dx.doi.org/10.1139/e17-003"
"6600","s","Redstone River formation","CA","E","Laurentia-Slave","63.2","233.0","725","3","19","N","0","323.0","37.0","13.0","86.0","41.0","102.0","11.6","3","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"2665","i","Kingston dyke 4","CA","","Laurentia-Grenville","44.3","283.6","725","1","9*","N","0","315.0","-15.0","5.0","134.0","24.0","154.0","3.7","2","Park, J.K., Irving, E.","Can. J. Earth Sci.","1972","9","763-765","http://dx.doi.org/10.1139/e72-063"
"1213","i","Glen Mountains layered complex","US","","Laurentia-Yavapai","34.7","261.2","730","8","33","M","?","236.8","20.7","7.3","12.6","-19.7","200.4","5.5","3","Roggenthen, W.M., Fischer, J.F., Napoleone, G., Fischer, A.G.","Geophys. Res. Lett.","1981","8","133-136","http://dx.doi.org/10.1029/GL008i002p00133"
"10099","s","Sixty Mile formation, Grand Canyon Springs","US","","Laurentia-Yavapai","36.3","248.2","740","30","?","R","100","276.9","-29.5","5.3","25.8","-3.9","142.4","4.3","3","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"6598","s","Redstone River formation","CA","B","Laurentia-Slave","63.2","233.0","740","4","49","N","0","277.0","52.0","10.0","92.0","32.0","154.0","11.3","3","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"6601","s","Coppercap formation","CA","A","Laurentia-Slave","62.7","233.4","740","1","11*","N","0","295.0","46.0","10.0","90.0","35.0","135.0","10.2","2","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"1744","s","Katherine group","CA","KB","Laurentia-Slave","64.6","232.1","740","4","36","N","0","258.0","42.0","5.0","326.0","17.0","164.0","4.9","4","Park, J.K., Aitken, J.D.","Can. J. Earth Sci.","1986","23","308-323","http://dx.doi.org/10.1139/e86-034"
"6595","s","Thundercloud formation","CA","B","Laurentia-Slave","63.0","233.2","740","6","50","N","0","269.0","49.0","9.0","63.0","27.0","158.0","9.7","4","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"1713","s","Mudcracked formation, Little Dal group","CA","B","Laurentia-Slave","64.7","233.0","740","1","3*","N","0","262.0","49.0","14.0","76.0","24.0","184.0","14.7","2","Park, J.K.","Can. J. Earth Sci.","1984","21","371-375","http://dx.doi.org/10.1139/e84-039"
"342","s","Tsezotene formation","CA","B","Laurentia-Slave","64.5","232.0","740","18","112","N","0","262.9","47.9","4.1","72.9","23.3","161.8","4.3","3","Park, J.K., Aitken, J.D.","J. Geophys. Res.","1986","91","4955-4970","http://dx.doi.org/10.1029/JB091iB05p04955"
"9137","s","Kwagunt formation -C","US","","Laurentia-Yavapai","36.3","248.3","742","9","61","C","67","280.8","30.6","8.4","38.6","18.2","166.0","7","6","Weil, A.B., Geissman, J.W., Van der Voo, R.","Prec. Res.","2004","129","71-92","http://dx.doi.org/10.1016/j.precamres.2003.09.016"
"91372","s","Kwagunt formation -R","US","","Laurentia-Yavapai","36.3","248.3","742","6","39","R","100","97.3","-31.4","10.0","45.5","17.4","164.5","8.4","6","Weil, A.B., Geissman, J.W., Van der Voo, R.","Prec. Res.","2004","129","71-92","http://dx.doi.org/10.1016/j.precamres.2003.09.016"
"10189","s","Kwagunt formation, Grand Canyon Springs","US","","Laurentia-Yavapai","36.3","248.3","742","14","?","R","100","269.0","9.0","7.9","26.5","1.9","162.4","5.7","3","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"91371","s","Kwagunt formation -N","US","","Laurentia-Yavapai","36.3","248.3","742","3","22","N","0","288.1","27.9","22.2","31.8","23.0","155.0","18","5","Weil, A.B., Geissman, J.W., Van der Voo, R.","Prec. Res.","2004","129","71-92","http://dx.doi.org/10.1016/j.precamres.2003.09.016"
"6594","s","Thundercloud formation","CA","A","Laurentia-Slave","63.0","233.2","749","6","31","M","?","264.0","6.0","22.0","10.0","1.0","150.0","15.3","4","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"6597","s","Redstone River formation","CA","F","Laurentia-Slave","63.2","233.0","749","6","76","N","0","273.0","40.0","11.0","38.0","22.0","151.0","10.3","4","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"2476","i","Morin anorthosite complex","CA","M2","Laurentia-Grenville","46.1","285.6","750","13","45","R","100","114.0","38.0","10.0","17.0","0.0","164.0","10.4","2","Irving, E., Park, J.K., Emslie, R.F.","J. Geophys. Res.","1974","79","5482-5490","http://dx.doi.org/10.1029/JB079i035p05482"
"24502","s","Basinal Little Dal group B -R","CA","B","Laurentia-Slave","64.7","233.0","765","13","30","R","100","271.1","-12.8","12.9","11.0","-6.0","139.3","9.4","5","Park, J.K.","J. Geophys. Res.","1981","86","5134-5146","http://dx.doi.org/10.1029/JB086iB06p05134"
"245","s","Basinal Little Dal group B -C","CA","B","Laurentia-Slave","64.7","233.0","765","13","64","C","46","273.1","-9.3","10.5","17.0","-3.4","138.2","7.5","5","Park, J.K.","J. Geophys. Res.","1981","86","5134-5146","http://dx.doi.org/10.1029/JB086iB06p05134"
"24501","s","Basinal Little Dal group B -N","CA","B","Laurentia-Slave","64.7","233.0","765","11","34","N","0","93.3","8.8","12.6","14.0","-2.9","138.0","9","5","Park, J.K.","J. Geophys. Res.","1981","86","5134-5146","http://dx.doi.org/10.1029/JB086iB06p05134"
"8588","m","Christmas Lake dyke","US","","Laurentia-Wyoming","45.0","250.5","774","1","9*","N","0","292.3","-21.4","7.9","44.0","7.4","137.0","6","3","Harlan, S.S., Geissman, J.W., Snee, L.W.","U.S. Geol. Surv. Prof. Paper 1580","1997","","16pp.",""
"8029","i","Pre-Grenvillian mafic intrusions","CA","B","Laurentia-Grenville","54.5","301.5","775","13","49","N","0","121.0","54.0","6.0","54.0","-13.0","168.0","6.9","3","Park, J.K., Gower, C.F.","Can. J. Earth Sci.","1996","33","746-756","http://dx.doi.org/10.1139/e96-057"
"8587","i","Mount Moran dyke","US","","Laurentia-Wyoming","43.8","249.2","775","1","7*","N","0","285.5","1.5","10.2","36.0","11.6","148.9","7.2","3","Harlan, S.S., Geissman, J.W., Snee, L.W.","U.S. Geol. Surv. Prof. Paper 1580","1997","","16pp.",""
"10096","s","Galeros formation, Grand Canyon Springs","US","","Laurentia-Yavapai","36.3","248.3","778","50","?","N","0","257.3","-6.5","2.4","70.9","-12.2","163.0","1.7","3","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"2812","i","Beartooth Mountains dyke 2","US","","Laurentia-Wyoming","45.0","250.0","778","2","11*","N","0","288.4","-1.0","31.0","67.0","12.5","146.5","21.9","2","Larson, E.E., Reynolds, R., Hoblitt, R.","Geol. Soc. Am. Bull.","1973","84","3231-3248","http://dx.doi.org/10.1130/0016-7606(1973)84<3231:NVAPPP>2.0.CO;2"
"1658","i","Tsezotene sills","CA","A","Laurentia-Slave","64.0","230.0","778","6","38","M","16","272.0","0.0","6.0","16.5","1.0","139.0","4.2","5","Park, J.K.","Can. J. Earth Sci.","1981","18","1572-1580","http://dx.doi.org/10.1139/e81-145"
"1674","i","Little Dal lavas","CA","lower","Laurentia-Slave","63.8","231.5","778","4","36","N","0","304.0","20.0","6.9","159.0","24.0","115.0","5.2","4","Morris, W.A., Aitken, J.D.","Can. J. Earth Sci.","1982","19","2020-2027","http://dx.doi.org/10.1139/e82-179"
"1659","i","Tsezotene sills","CA","B","Laurentia-Slave","64.0","230.0","778","6","18","M","26","269.0","-1.0","9.0","17.3","-1.0","141.0","6.4","4","Park, J.K.","Can. J. Earth Sci.","1981","18","1572-1580","http://dx.doi.org/10.1139/e81-145"
"1675","i","Little Dal lavas","CA","upper","Laurentia-Slave","63.8","231.5","778","5","34","N","0","266.0","48.0","11.0","49.0","24.0","159.0","11.6","4","Morris, W.A., Aitken, J.D.","Can. J. Earth Sci.","1982","19","2020-2027","http://dx.doi.org/10.1139/e82-179"
"5922","i","Tsezotene sills (comb.)","CA","","Laurentia-Slave","63.5","235.0","778","17","134","M","5","277.2","-3.5","7.0","4.0","1.6","137.8","4.9","5","Park, J.K., Norris, D.K., Larochelle, A.","Can. J. Earth Sci.","1989","26","2194-2203","http://dx.doi.org/10.1139/e89-186"
"10333","i","Hottah gabbro sheets","CA","","Laurentia-Slave","65.0","243.0","779","3","29","N","0","286.0","15.0","21.0","34.0","13.0","141.0","15.6","4","Park, J.K., Buchan, K.L., Gandhi, S.S.","Current Research, Geological Survey of Canada","1995","1995-C","195-200",""
"10004","m","Tobacco Root dykes","US","B","Laurentia-Wyoming","45.7","246.4","780","12","23","N","0","301.5","-17.1","4.0","117.0","14.6","127.0","2.9","3","Harlan, S.S., Geissman, J.W., Snee, L.W.","Prec. Res.","2008","163","239-264","http://dx.doi.org/10.1016/j.precamres.2007.12.002"
"683","s","Uinta Mountain group","US","","Laurentia-Wyoming","40.8","250.0","800","5","114","M","17","272.1","-3.1","7.4","109.1","0.6","157.2","3.8","4","Bressler, S.","Earth Plan. Sci. Lett.","1981","55","53-64","http://dx.doi.org/10.1016/0012-821X(81)90086-8"
"1000322","s","Uinta Mountain group -R","US","","Laurentia-Wyoming","40.7","250.6","800","4","40","R","100","92.6","-7.7","9.2","101.0","4.5","161.9","6.6","4","Weil, A.B., Geissman, J.W., Ashby, J.M.","Prec. Res.","2006","147","234-259","http://dx.doi.org/10.1016/j.precamres.2006.01.017"
"1693","s","Mount Nelson formation","CA","MNA","Laurentia-Wyoming","50.5","244.0","800","14","92","N","0","274.0","19.0","10.0","18.0","10.0","156.0","7.5","3","Morris, W.A., McMechan, M.E.","Can. J. Earth Sci.","1983","20","561-567","http://dx.doi.org/10.1139/e83-053"
"5835","i","Seal Lake group diabase","CA","","Laurentia-Nain","54.5","298.0","800","9","51","R","100","143.0","37.0","10.2","29.0","8.0","153.0","9.2","3","Roy, R.L., Fahrig, W.F.","Can. J. Earth Sci.","1973","10","1279-1301","http://dx.doi.org/10.1139/e73-113"
"9138","s","Galeros formation","US","","Laurentia-Yavapai","36.3","248.3","800","16","110","N","0","265.5","5.1","8.5","19.8","-2.1","163.0","6","4","Weil, A.B., Geissman, J.W., Van der Voo, R.","Prec. Res.","2004","129","71-92","http://dx.doi.org/10.1016/j.precamres.2003.09.016"
"2052","s","Freda sandstone","US","IT","Laurentia-Superior","47.0","271.5","800","?","34","R","100","280.6","-9.5","2.7","81.0","3.7","169.2","2","3","Henry, S.G., Mauk, F.J., Van der Voo, R.","Can. J. Earth Sci.","1977","14","1128-1138","http://dx.doi.org/10.1139/e77-103"
"100032","s","Uinta Mountain group -C","US","","Laurentia-Wyoming","40.8","250.7","800","9","80","C","50","270.2","2.0","6.6","61.5","0.8","161.3","4.7","4","Weil, A.B., Geissman, J.W., Ashby, J.M.","Prec. Res.","2006","147","234-259","http://dx.doi.org/10.1016/j.precamres.2006.01.017"
"684","s","Hades Pass quartzite, Uinta Mountain group","US","grp. C","Laurentia-Wyoming","40.6","249.5","800","1","8*","R","100","106.3","22.1","15.9","13.0","4.6","140.1","12.2","2","Bressler, S.","Earth Plan. Sci. Lett.","1981","55","53-64","http://dx.doi.org/10.1016/0012-821X(81)90086-8"
"2183","m","Thanet gabbro","CA","B","Laurentia-Grenville","44.9","282.2","800","8","18","N","0","307.6","-13.3","11.7","9.6","20.3","159.3","9.5","1","Buchan, K.L.","Can. J. Earth Sci.","1978","15","1407-1421","http://dx.doi.org/10.1139/e78-148"
