
"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","Age","B","N","P","R%","D","I","alfa95","k","Plat","Plon","A95","AV","Authors","Journal","Year","Vol","Pages","DOI"
"16402","s","Johnnie formation, Desert Range -R","US","","Laurentia-Yavapai","36.8","244.7","540","1","31*","R","100","74.0","8.0","7.0","12.9","-15.2","161.2","5.1","4","Van Alstine, D.R., Gillett, S.L.","J. Geophys. Res.","1979","84","4490-4500","http://dx.doi.org/10.1029/JB084iB09p04490"
"164","s","Johnnie formation, Desert Range -C","US","","Laurentia-Yavapai","36.8","244.7","540","1","41*","C","75","78.0","1.0","10.0","48.1","-10.0","162.0","7.1","4","Van Alstine, D.R., Gillett, S.L.","J. Geophys. Res.","1979","84","4490-4500","http://dx.doi.org/10.1029/JB084iB09p04490"
"16401","s","Johnnie formation, Desert Range -N","US","","Laurentia-Yavapai","36.8","244.7","540","1","10*","N","0","261.0","7.0","11.0","16.2","-5.2","162.9","7.9","3","Van Alstine, D.R., Gillett, S.L.","J. Geophys. Res.","1979","84","4490-4500","http://dx.doi.org/10.1029/JB084iB09p04490"
"13271","s","Johnnie formation, Nopah Range -N","US","W","Laurentia-Yavapai","35.8","243.9","545","1","15*","N","0","259.5","6.9","21.5","3.9","-6.4","162.9","15.3","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Prec. Res.","2015","266","395-408","http://dx.doi.org/10.1016/j.precamres.2015.05.033"
"13272","s","Johnnie formation, Nopah Range -R","US","E","Laurentia-Yavapai","35.8","243.9","545","1","9*","R","100","94.8","35.0","29.6","3.5","-7.5","135.4","25.9","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Prec. Res.","2015","266","395-408","http://dx.doi.org/10.1016/j.precamres.2015.05.033"
"13270","s","Johnnie Formation, Nopah Range -C","US","W+E","Laurentia-Yavapai","35.8","243.9","545","1","24*","C","38","259.1","3.1","17.0","4.0","-7.9","161.6","12","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Prec. Res.","2015","266","395-408","http://dx.doi.org/10.1016/j.precamres.2015.05.033"
"7771","s","Risky formation","CA","A","Laurentia-Slave","64.6","227.1","546","4","11","M","?","55.0","-64.0","11.0","18.0","29.0","187.0","15.9","4","Park, J.K.","Can. J. Earth Sci.","1995","32","718-729","http://dx.doi.org/10.1139/e95-061"
"13281","s","Johnnie formation, Winters Pass -N","US","W","Laurentia-Yavapai","35.8","244.3","550","1","23*","N","0","297.2","11.6","12.3","7.0","25.4","142.6","8.9","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Prec. Res.","2015","266","395-408","http://dx.doi.org/10.1016/j.precamres.2015.05.033"
"5874","i","Slate Island lavas -N","CA","impact","Laurentia-Superior","48.7","273.1","550","5","29","N","0","81.9","49.7","4.4","307.0","-27.3","167.1","4.8","3","Halls, H.C.","Geophys. JRAS","1979","59","553-591","http://dx.doi.org/10.1111/j.1365-246X.1979.tb02573.x"
"11114","i","Slate Island impact breccia dyke","CA","","Laurentia-Superior","48.7","273.1","550","11","116","N","0","86.6","51.1","4.3","96.4","-25.4","163.0","4.8","3","Fairchild, L.M., Swanson-Hysell, N.L., Tikoo, S.M.","Geology","2016","44","723-726","http://dx.doi.org/10.1130/G37927.1"
"13282","s","Johnnie formation, Winters Pass -R","US","E","Laurentia-Yavapai","35.8","244.3","550","1","12*","R","100","72.7","-5.1","23.9","3.9","-12.4","166.7","17","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Prec. Res.","2015","266","395-408","http://dx.doi.org/10.1016/j.precamres.2015.05.033"
"13280","s","Johnnie formation, Winters Pass -C","US","W+E","Laurentia-Yavapai","35.8","244.3","550","1","35*","C","34","287.8","8.5","13.2","4.7","16.9","147.3","9.5","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Prec. Res.","2015","266","395-408","http://dx.doi.org/10.1016/j.precamres.2015.05.033"
"1754","i","Sept-Iles dykes and baked contacts","CA","B","Laurentia-Grenville","50.2","293.5","552","16","76","M","56","105.4","82.1","5.1","53.2","-44.0","134.5","9.8","6","Tanczyk, E.I., Lapointe, P., Morris, W.A., Schmidt, P.W.","Can. J. Earth Sci.","1987","24","1431-1438","http://dx.doi.org/10.1139/e87-135"
