"RES#";"ROCK";"ROCKUNIT";"CNTRY";"COMP";"CRAT";"SLAT";"SLON";"LMA";"HMA";"ISOAGE";"AGEREF";"AGEREF2";"MET";"AGE";"B";"N";"P";"R%";"D";"I";"alfa95";"k";"PLAT";"PLON";"DP";"DM";"A95";"1";"2";"3";"4";"5";"6";"PMAGREF";"COMMENT";"RECALC"
"5";"i";"Väster-Norrland dolerites";"SE";NULL;"Baltica-Rest";"62.9";"18.3";"1255";"1257";"1256.2 ± 1.1";"Söderlund et al. (2006)";NULL;"g";"1256";"43";"252";"N";"?";"47.8";"-45.5";"2.6";"71.0";"-7.5";"156.5";"2.1";"3.3";"2.6";"1";"1";"1";"0";"1";"0";"Piper (1979b)";NULL;"0"
"8";"i";"Proterozoic granites";"KE";NULL;"Congo-Tanzania";"0.0";"34.8";"2426";"2526";"2476 ± 50, 2530 ± 100";"Patel and Raja (1979)";NULL;"e";"2476";"10";"42";"M";"10";"2.7";"-47.8";"13.8";"13.3";"60.7";"210.0";"11.7";"18.0";"14.5";"0";"1";"0";"0";"0";"1";"Patel and Raja (1979)";"2 intermediate sites rejected.";"1"
"14";"s";"Seton formation, Kahochella group";"CA";"HT";"Slave";"62.0";"247.9";"1880";"1890";"1885 ± 5";"Davis and Bleeker (2007)";NULL;"corr.";"1885";"19";"154";"N";"0";"159.0";"46.0";"7.0";"24.0";"2.0";"267.0";"5.7";"8.9";"7.2";"1";"1";"1";"0";"1";"0";"Irving and McGlynn (1979)";"Age by correlation with Ghost dykes (ca. 1885 Ma).";"0"
"15";"s";"Seton formation, Kahochella group";"CA";"B";"Laurentia-Slave";"62.0";"247.9";"1700";"1800";NULL;"APWP";NULL;"a, m";"1750";"14";"99";"N";"0";"158.0";"68.0";"7.0";"36.0";"25.0";"263.0";"9.9";"11.7";"10.8";"0";"1";"1";"0";"1";"0";"Irving and McGlynn (1979)";"Sec. magn. acquired during uplift after deep burial, magn. age from APWP.";"0"
"16";"s";"Douglas Peninsula formation, Pethei group";"CA";"HT";"Slave";"62.8";"249.7";"1866";"1886";"1870 ± 4, 1882 ± 4";"Davis and Bleeker (2007)";NULL;"corr.";"1876";"6";"43";"M";"33";"172.0";"18.0";"19.0";"14.0";"-17.0";"258.0";"10.2";"19.7";"14.2";"1";"0";"1";"0";"1";"1";"Irving and McGlynn (1979)";"APWP age close to Peninsular Sill. Age by correlation to the underlying Seton Formation.";"0"
"17";"s";"Douglas Peninsula formation, Pethei group";"CA";"LT";"Laurentia-Slave";"62.8";"249.7";"1220";"1320";NULL;"APWP";NULL;"a, m";"1270";"10";"54";"N";"0";"233.0";"41.0";"4.0";"125.0";"6.0";"202.0";"3.0";"4.9";"3.8";"0";"1";"1";"0";"1";"0";"Irving and McGlynn (1979)";"Sec. magn. probably from the intrusion of Mackenzie diabase (ca. 1250 Ma).";"0"
"18";"s";"Takiyuak formation";"CA";NULL;"Slave";"66.1";"246.9";"1866";"1886";"1870 ± 4, 1882 ± 4";"Davis and Bleeker (2007)";NULL;"corr.";"1876";"17";"111";"M";"18";"178.0";"19.0";"10.0";"15.0";"-13.0";"249.0";"5.4";"10.4";"7.5";"1";"1";"1";"0";"1";"1";"Irving and McGlynn (1979)";"Pole close to that of Douglas Peninsula formation.";"0"
"19";"i";"Peninsular sill";"CA";NULL;"Slave";"66.2";"247.0";"1866";"1874";"1870 ± 4";"Davis and Bleeker (2007)";NULL;"corr.";"1870";"7";"32";"M";"94";"345.0";"-2.0";"8.0";"63.0";"-22.0";"263.0";"4.0";"8.0";"5.7";"1";"1";"1";"0";"1";"1";"Irving and McGlynn (1979)";"Age by correlation with Mara River sill at 1870 ± 4 Ma.";"0"
"20";"m";"Quartz-magnetites";"IN";NULL;"India-Dharwar";"18.5";"79.1";"2495";"2575";"2535 ± 40";"GPMDB 4.6";NULL;"e/f";"2535";"2";"20*";"N";"0";"225.5";"-43.0";"6.3";"27.8";"47.4";"152.0";"4.8";"7.8";"6.1";"1";"0";"1";"0";"0";"0";"Subba Rao and Radhakrishna Murthy (1979)";NULL;"0"
"23";"i";"Central Lewisian dykes";"UK";"A";"Scotland";"56.0";"355.0";"1625";"1650";"1625-1650";"GPMDB 4.6";NULL;"d";"1638";"40";"256";"N";"0";"286.0";"54.7";"4.4";"27.0";"37.5";"272.9";"4.4";"6.2";"5.2";"1";"1";"1";"0";"1";"0";"Piper (1979a)";"HCR/T comp. See also result 2420.";"0"
