"RES#";"ROCK";"ROCKUNIT";"CNTRY";"COMP";"CRAT";"SLAT";"SLON";"LMA";"HMA";"ISOAGE";"AGEREF";"AGEREF2";"MET";"AGE";"B";"N";"P";"R%";"D";"I";"alfa95";"k";"PLAT";"PLON";"DP";"DM";"A95";"1";"2";"3";"4";"5";"6";"PMAGREF";"COMMENT";"RECALC"
"24";"i";"Central Lewisian dykes";"UK";"B1";"Scotland";"56.0";"355.0";"1400";"1500";NULL;"APWP";NULL;"a, m";"1450";"3";"20";"M";"33";"251.9";"8.7";"19.6";"41.0";"-5.7";"282.6";"9.9";"19.7";"14.0";"0";"0";"1";"0";"1";"1";"Piper (1979a)";"HCR/T comp. but considered later (due to alteration).";"0"
"25";"i";"Central Lewisian dykes";"UK";"B2";"Scotland";"56.0";"355.0";"1200";"1400";NULL;"APWP";NULL;"a, m";"1300";"7";"40";"M";"43";"296.6";"-32.9";"14.5";"22.0";"-2.1";"233.1";"8.4";"14.8";"11.1";"0";"1";"1";"0";"1";"1";"Piper (1979a)";"HCR/T comp. but considered later (due to alteration).";"0"
"26";"i";"Central Lewisian dykes";"UK";"C";"Scotland";"56.0";"355.0";"1450";"1600";"1625-1650";"GPMDB 4.6";NULL;"d";"1525";"14";"89";"R";"100";"42.3";"39.8";"8.5";"23.0";"-43.3";"296.1";"6.1";"10.2";"7.9";"0";"1";"1";"0";"1";"0";"Piper (1979a)";"Polarity changed for better match with APWP. Low temp.late stage uplift suggested as age of magnetization.";"0"
"41";"i";"Jersey dykes";"UK";"C";"Cadomia";"49.0";"358.0";"513";"600";NULL;"GPMDB 4.6";NULL;"a, m";"557";"7";"20";"R";"100";"302.0";"16.0";"20.0";"10.5";"26.0";"248.0";"10.0";"20.6";"14.1";"0";"0";"1";"0";"1";"0";"Duff (1980a)";NULL;"0"
"54";"i";"Spilites de Paimpol";"FR";NULL;"Cadomia";"48.8";"357.0";"628";"652";"640 ± 12";"Hagstrum et al. (1980)";NULL;"e/f";"640";"7";"31";"R";"100";"226.4";"-15.7";"12.4";"24.6";"33.8";"117.2";"6.6";"12.8";"9.2";"1";"1";"1";"1";"1";"0";"Hagstrum et al. (1980)";"Magnetization pre 510 Ma from contact test on dykes intruding.";"0"
"55";"i";"Microgranite dykes and remagnetized spilite flows";"FR";NULL;"Cadomia";"48.8";"357.0";"541";"573";"557 ± 16";"Vidal (1976)";"Hagstrum et al. (1980)";"e/f";"557";"6";"24";"R";"100";"235.1";"63.4";"11.4";"35.2";"16.2";"310.3";"14.2";"18.0";"16.0";"1";"0";"1";"1";"1";"0";"Hagstrum et al. (1980)";"Age given by Vidal (1976), readjusted by Hagstrum et al. (1980).";"0"
"56";"i";"Diorite de St.Quay, Armorican massif";"FR";"char.";"Cadomia";"48.8";"357.0";"581";"623";"583 ± 40";"Vidal (1976)";"Hagstrum et al. (1980)";"e/f";"602";"7";"40";"N";"0";"31.2";"-2.3";"4.0";"226.2";"33.7";"138.6";"2.0";"4.0";"2.8";"1";"1";"1";"0";"0";"0";"Hagstrum et al. (1980)";"Age given by Vidal (1976), readjusted by Hagstrum et al. (1980).";"0"
"57";"i";"Diorite de St.Quay, Armorican massif";"FR";"sec.";"Cadomia";"48.8";"357.0";"579";"583";"583 ± 40";"Vidal (1976)";"Hagstrum et al. (1980)";"corr., e/f";"581";"3";"12";"R";"100";"299.9";"38.2";"11.5";"116.5";"37.6";"262.1";"8.1";"13.6";"10.5";"1";"0";"1";"0";"0";"0";"Hagstrum et al. (1980)";"Similar to ChRM from gabbro de Keralain. Age given by Vidal (1976), readjusted by Hagstrum et al. (1980).";"0"
"58";"i";"Gabbro de Keralain";"FR";"char.";"Cadomia";"48.8";"356.9";"579";"583";"581 ± 2";"Ruffet et al. (1990)";NULL;"c";"581";"3";"37*";"R";"100";"290.9";"41.4";"3.3";"1363.0";"31.3";"268.3";"2.5";"4.0";"3.2";"1";"1";"1";"0";"0";"0";"Hagstrum et al. (1980)";NULL;"0"
"59";"i";"Gabbro de Keralain";"FR";"sec.";"Cadomia";"48.8";"356.9";"540";"560";"581 ± 2";"Ruffet et al. (1990)";NULL;"m, c";"550";"?";"9";"R";"100";"221.0";"55.8";"15.5";"12.0";"2.6";"325.0";"15.9";"22.2";"18.8";"1";"0";"1";"0";"0";"0";"Hagstrum et al. (1980)";"Quite similar to ChRM of Granite de Porz-Scarff.";"0"
"60";"i";"Granite de Porz-Scarff";"FR";NULL;"Cadomia";"48.9";"356.8";"541";"573";"557 ± 16";"Vidal (1976)";"Hagstrum et al. (1980)";"corr., e/f";"557";"5";"28";"R";"100";"200.4";"66.0";"30.4";"7.3";"8.8";"343.2";"40.6";"49.7";"44.9";"1";"0";"1";"0";"0";"0";"Hagstrum et al. (1980)";"Magnetization similar to sec.comp.of Gabbro de Keralain. Age given by Vidal (1976), readjusted by Hagstrum et al. (1980).";"0"
"61";"i";"Rhyolitic ignimbrites of Lézardrieux and rhyolites of St. Germain-le-Gaillard";"FR";"char.";"Cadomia";"48.8";"357.0";"538";"554";"546 ± 8, 547 ± 12";"Hagstrum et al. (1980)";NULL;"s, e/f";"546";"8";"49";"R";"100";"191.8";"38.2";"16.3";"12.5";"-16.1";"343.1";"11.4";"19.3";"14.8";"1";"0";"1";"0";"1";"0";"Hagstrum et al. (1980)";NULL;"0"
"62";"i";"Rhyolitic ignimbrites, Lézardrieux";"FR";"HT";"Cadomia";"48.8";"357.0";"538";"554";"546 ± 8, 547 ± 12";"Hagstrum et al. (1980)";NULL;"s, e/f";"546";"1";"9*";"N";"0";"88.8";"-37.1";"25.3";"5.1";"14.7";"281.7";"17.4";"29.7";"22.7";"1";"0";"1";"0";"1";"0";"Hagstrum et al. (1980)";"High temp. component, authors state that this may be Cambrian.";"0"
"69";"i";"Adma diorite";"MA";NULL;"Pharusides";"18.3";"1.2";"590";"620";"616 ± 11, 613 ± 3";"Morel (1981)";"APWP";"g, a";"605";"13";"62";"N";"0";"317.3";"78.6";"9.0";"22.0";"33.5";"343.5";"16.1";"17.0";"16.6";"1";"1";"1";"0";"0";"0";"Morel (1981)";NULL;"0"
"70";"i";"Tabankort rhyolite";"MA";NULL;"Pharusides";"19.7";"1.1";"540";"640";"~590";"GPMDB 4.6";NULL;"a, g";"590";"3";"8";"R";"100";"114.0";"-70.0";"7.0";"63.6";"30.0";"322.0";"10.4";"12.0";"11.2";"0";"0";"1";"0";"1";"0";"Morel (1981)";"Appears to be reverse direction of Adma diorite. U-Pb age from nearby granite.";"0"
"77";"m";"South Lewisian complex";"UK";"A1";"Scotland";"57.7";"354.4";"1690";"1800";"1850, 1800.3, 1700, 1500, 1400";"GPMDB 4.6";NULL;"d";"1745";"7";"20";"N";"0";"82.1";"65.4";"9.7";"40.0";"-42.3";"239.0";"12.8";"15.7";"14.2";"0";"0";"1";"1";"0";"0";"Smith and Piper (1982)";"A1 component regarded as the oldest observed.";"0"
"78";"m";"South Lewisian complex";"UK";"A3";"Scotland";"57.7";"354.4";"1470";"1690";"1850, 1800.3, 1700, 1500, 1400";"GPMDB 4.6";NULL;"d";"1580";"11";"1000";"N";"0";"322.7";"44.4";"6.5";"50.0";"48.9";"230.2";"5.1";"8.2";"6.5";"0";"1";"1";"1";"0";"0";"Smith and Piper (1982)";"Younger than A1 comp. (77). N polarity assumed.";"0"
"79";"m";"South Lewisian complex";"UK";"A4";"Scotland";"57.7";"354.4";"1470";"1690";"1850, 1800.3, 1700, 1500, 1400";"GPMDB 4.6";NULL;"d";"1580";"20";"1000";"N";"0";"314.0";"14.4";"4.2";"61.0";"28.4";"228.6";"2.2";"4.3";"3.1";"0";"1";"1";"1";"0";"0";"Smith and Piper (1982)";"Younger than A1 comp. (77). N polarity assumed.";"0"
"80";"m";"South Lewisian complex";"UK";"A5";"Scotland";"57.7";"354.4";"1470";"1690";"1850, 1800.3, 1700, 1500, 1400";"GPMDB 4.6";NULL;"d";"1580";"27";"1000";"N";"0";"312.5";"-10.6";"3.6";"60.0";"16.2";"224.3";"1.9";"3.7";"2.7";"0";"1";"1";"1";"0";"0";"Smith and Piper (1982)";"Younger than A1 comp. (77). N polarity assumed.";"0"
"91";"i";"Anantapur NE dykes 1";"IN";NULL;"India-Dharwar";"14.2";"77.8";"1022";"2100";NULL;"APWP";NULL;"a, corr.";"1561";"5";"21";"N";"0";"61.0";"-8.4";"4.7";"263.8";"26.8";"180.1";"2.4";"4.7";"3.4";"0";"0";"1";"1";"1";"0";"Kumar and Bhalla (1983)";"Magnetization older than that of Anantapur ENE dykes.";"0"
"92";"i";"Anantapur ENE dykes 2";"IN";NULL;"India-Dharwar";"14.2";"77.6";"1022";"1029";"1025.6 ± 3.8";"Pradhan et al. (2010)";NULL;"g";"1026";"2";"8";"N";"0";"65.1";"-71.6";NULL;NULL;"1.3";"227.4";NULL;NULL;NULL;"1";"0";"1";"1";"1";"0";"Kumar and Bhalla (1983)";NULL;"0"
"93";"i";"Anantapur NE dykes 3";"IN";NULL;"India-Dharwar";"14.4";"77.7";"1700";"2500";NULL;"APWP";NULL;"a, m";"2100";"2";"9*";"R";"100";"317.3";"-32.0";"25.6";"97.3";"37.2";"312.1";"16.2";"28.8";"21.6";"0";"0";"1";"0";"1";"0";"Kumar and Bhalla (1983)";NULL;"0"
"98";"i";"Zig-Zag Dal basalts";"DK";NULL;"Greenland";"81.2";"334.8";"1380";"1384";"1382 ± 2";"Upton et al. (2005)";NULL;"corr., g";"1382";"19";"135";"R";"100";"93.6";"-22.0";"5.5";"37.0";"12.0";"242.8";"3.8";"3.8";"3.8";"1";"1";"1";"0";"1";"0";"Marcussen and Abrahamsen (1983)";"Correlated with Midsommersø dolerite (1382 ± 2 Ma).";"0"
"99";"i";"Midsommersø dolerite";"DK";NULL;"Greenland";"81.8";"327.8";"1380";"1384";"1382 ± 2";"Upton et al. (2005)";NULL;"g";"1382";"10";"100";"R";"100";"85.6";"-14.5";"7.8";"39.0";"6.9";"242.0";"5.1";"5.1";"5.1";"1";"1";"1";"0";"1";"0";"Marcussen and Abrahamsen (1983)";NULL;"0"
"113";"i";"Keratophyre tuffs of Treguier";"FR";"magn.";"Cadomia";"48.8";"356.9";"628";"652";"640 ± 12";"Hagstrum et al. (1980)";NULL;"e/f";"640";"10";"57";"R";"100";"219.7";"-30.4";"12.2";"16.6";"44.7";"116.4";"7.5";"13.6";"11.1";"1";"1";"1";"0";"1";"0";"Perigo et al. (1983)";"Foldtest 85% sig. strongly indicates prefolding magnetization.";"0"
"114";"i";"Keratophyre tuffs of Treguier";"FR";"hem.";"Cadomia";"48.8";"356.9";"540";"590";"640 ± 12";"Hagstrum et al. (1980)";NULL;"m, f";"565";"8";"59";"M";"50";"140.4";"-20.3";"23.2";"6.6";"39.5";"233.5";"12.8";"24.3";"14.0";"0";"0";"1";"0";"1";"1";"Perigo et al. (1983)";"In situ and bed. corr., poles correspond to other V-CB poles.";"0"
"115";"i";"Tregor microgranites";"FR";"H-Int.";"Cadomia";"48.8";"356.9";"524";"572";"548 ± 24";"GPMDB 4.6";NULL;"e/f";"548";"11";"67";"R";"100";"200.0";"50.8";"8.7";"28.5";"5.8";"159.9";"7.9";"11.7";"9.4";"0";"1";"1";"1";"0";"0";"Perigo et al. (1983)";"Located at a distance from dolerite dykes, not remagnetized.";"0"
"117";"i";"Texas granites -R";"US";NULL;"Laurentia-Yavapai";"39.2";"264.2";"1327";"1351";"1339 ± 12";"GPMDB 4.6";NULL;"g";"1339";"1";"7*";"R";"100";"249.6";"49.0";"11.3";"51.4";"4.5";"209.9";"9.9";"14.9";"12.1";"1";"0";"1";"0";"0";"0";"Kodama (1984)";NULL;"0"
"118";"i";"Texas granites -N";"US";NULL;"Laurentia-Yavapai";"38.5";"265.0";"1355";"1367";"1361 ± 6";"GPMDB 4.6";NULL;"g";"1361";"1";"9*";"N";"0";"44.8";"-31.9";"9.5";"24.3";"-20.2";"219.3";"6.0";"10.7";"8.0";"1";"0";"1";"0";"0";"0";"Kodama (1984)";NULL;"0"
"127";"s";"Sukinda chromites";"IN";NULL;"India-Singhbhum";"21.0";"85.8";"1700";"1900";NULL;"APWP";"French et al. (2008)";"m, corr.";"1800";"5";"22";"M";"20";"213.7";"21.2";"10.2";"57.6";"44.0";"216.6";"5.7";"10.7";"7.8";"0";"0";"1";"1";"0";"1";"Kumar and Bhalla (1984)";"Not valid for reversal calculations. Magnetization predates folding (pre -1600 Ma). Age of 1800 Ma suggested.";"0"
"130";"i";"Cordova gabbro A -C";"CA";"A";"Laurentia-Grenville";"44.5";"282.2";"850";"950";"1150-1200";"GPMDB 4.6";NULL;"a, d";"900";"18";"49";"C";"78";"294.0";"-55.5";"5.5";"42.0";"-10.5";"151.0";"6.0";"8.0";"6.9";"0";"1";"1";"0";"0";"1";"Dunlop and Stirling (1985)";"Secondary TRM acquired in brief thermal pulse >580 °C (900Ma). O-S event 450 ± 30 Ma.";"0"
"131";"i";"Cordova gabbro";"CA";"B";"Laurentia-Grenville";"44.5";"282.2";"800";"850";"1150-1200";"GPMDB 4.6";NULL;"d";"825";"11";"33";"N";"0";"305.5";"-1.5";"9.5";"24.0";"24.0";"165.5";"5.0";"9.5";"6.9";"1";"1";"1";"0";"0";"0";"Dunlop and Stirling (1985)";"CRM either below 250 °C or below ca. 400 °C in brief thermal pulse. O-S event 450 ± 30 Ma.";"0"
"132";"i";"Cordova gabbro";"CA";"C";"Laurentia-Grenville";"44.5";"282.2";"1150";"1200";"1150-1204";"GPMDB 4.6";NULL;"d";"1175";"12";"23";"R";"100";"180.0";"27.5";"10.5";"18.0";"31.0";"102.0";"6.2";"11.5";"8.5";"0";"0";"1";"0";"0";"0";"Dunlop and Stirling (1985)";"Low temp.CRM younger than A and B component.";"0"
"133";"i";"Dolerite dykes";"IN";"grp. 1";"India-Bastar";"18.4";"79.1";"1300";"1500";NULL;"APWP";NULL;"a, m";"1400";"3";"18";"N";"0";"41.7";"-43.1";"30.1";"17.7";"30.5";"214.7";"23.2";"37.3";"29.4";"0";"0";"1";"0";"1";"0";"Subba Rao and Radhakrishna Murthy (1985)";"Directions from 3 dykes (negative A, B and C) averaged.";"0"
"134";"i";"Dolerite dykes";"IN";"grp. 2";"India-Bastar";"18.4";"79.1";"1780";"1880";NULL;"APWP";NULL;"a, m";"1830";"1";"9*";"N";"0";"67.5";"11.7";"8.9";"35.3";"23.2";"169.9";"4.6";"9.0";"6.4";"0";"0";"1";"0";"1";"0";"Subba Rao and Radhakrishna Murthy (1985)";"Data from positive A component only.";"0"
"142";"m";"Tudor gabbro";"CA";"A";"Laurentia-Grenville";"44.7";"282.3";"1040";"1440";"1110 ± 20";"APWP";"Dunlop et al. (1985)";"a, c";"1240";"8";"42";"N";"0";"326.0";"-46.0";"4.8";"132.0";"12.0";"133.0";"4.0";"6.0";"4.9";"1";"1";"1";"0";"0";"0";"Dunlop et al. (1985)";"Palaeointensity 18-20 &mu;T. See also result 2604. Age from hornblendes, initial cooling to 590 &deg;C.";"0"
"154";"i";"Igneous rocks, Michigan Basin borehole";"US";NULL;"Laurentia-Superior";"43.2";"275.4";"500";"700";NULL;"GPMDB 4.6";NULL;"corr.";"600";"1";"13*";"R";"100";"102.3";"43.6";"5.0";"69.0";"-8.8";"158.5";"3.9";"6.2";"4.9";"0";"0";"1";"0";"0";"0";"Van der Voo and Watts (1978)";"See also result 155. Redbeds look primary, so this looks secondary.";"0"
"155";"s";"Redbeds, Michigan Basin borehole";"US";NULL;"Laurentia-Superior";"43.2";"275.4";"1000";"1100";NULL;"APWP";NULL;"a, m";"1050";"1";"3";"M";"33";"283.1";"-7.0";NULL;NULL;"7.1";"173.8";NULL;NULL;NULL;"0";"0";"1";"0";"1";"1";"Van der Voo and Watts (1978)";"Age est. 1050 Ma. Result 154 obtained from the same borehole. Assumed Keweenawan age.";"0"
"164";"s";"Johnnie formation, Desert Range -C";"US";NULL;"Laurentia-Yavapai";"36.8";"244.7";"525";"555";NULL;"Bergmann et al. (2011)";NULL;"s";"540";"1";"41*";"C";"75";"78.0";"1.0";"10.0";"48.1";"-10.0";"162.0";"5.0";"10.0";"7.1";"0";"1";"1";"0";"1";"1";"Van Alstine and Gillett (1979)";"Rainstorm Member.";"0"
"168";"s";"Basal Pilcher quartzite";"US";NULL;"Laurentia-Wyoming";"46.9";"246.2";"1362";"1407";NULL;"GPMDB 4.6";NULL;"s";"1385";"1";"11*";"R";"100";"32.6";"-34.8";"6.0";"58.7";"-17.7";"214.0";"4.0";"6.9";"5.3";"1";"0";"1";"0";"1";"0";"Elston and Bressler (1980)";NULL;"0"
"169";"s";"McNamara formation";"US";NULL;"Laurentia-Wyoming";"47.6";"246.3";"1395";"1407";"1401 ± 6";"Evans et al. (2000)";NULL;"g, s";"1401";"1";"36*";"M";"78";"44.8";"-34.7";"4.7";"26.4";"-12.2";"203.2";"3.2";"5.4";"4.2";"1";"1";"1";"0";"1";"1";"Elston and Bressler (1980)";"Older than Pilcher formation.";"0"
"170";"s";"Upper Pilcher quartzite";"US";NULL;"Laurentia-Wyoming";"47.1";"245.6";"1050";"1407";NULL;"APWP";"Evans et al. (2000)";"s";"1204";"1";"8*";"N";"0";"256.3";"35.0";"14.1";"16.4";"5.1";"178.6";"9.4";"16.2";"12.3";"0";"0";"1";"0";"1";"0";"Elston and Bressler (1980)";"Probable overprint. Included in 168-179 as the youngest part.";"0"
"171";"s";"Bonner quartzite";"US";NULL;"Laurentia-Wyoming";"47.6";"246.7";"1395";"1450";"1401 ± 6, 1443 ± 7";"Evans et al. (2000)";NULL;"g, s";"1423";"1";"28*";"N";"0";"225.7";"39.4";"3.8";"58.7";"-9.0";"204.7";"2.7";"4.5";"3.5";"1";"1";"1";"0";"1";"0";"Elston and Bressler (1980)";"Older than McNamara formation. Max. age from Purcell lava, not sill.";"0"
"172";"s";"Striped Peak formation";"CA";"unit 4";"Laurentia-Wyoming";"49.1";"243.9";"1395";"1450";"1401 ± 6, 1443 ± 7";"Evans et al. (2000)";NULL;"g, s";"1423";"1";"26*";"N";"0";"231.2";"35.2";"3.5";"67.9";"-8.5";"195.9";"2.3";"4.0";"3.0";"1";"1";"1";"0";"1";"0";"Elston and Bressler (1980)";"Equivalent to Bonner quartzite. Max. age from Purcell lava, not sill.";"0"
"173";"s";"Mt. Shields formation";"US";NULL;"Laurentia-Wyoming";"47.4";"246.9";"1395";"1450";"1401 ± 6, 1443 ± 7";"Evans et al. (2000)";NULL;"g, s";"1423";"4";"74";"M";"50";"34.7";"-25.0";"2.5";"45.6";"-22.8";"211.6";"1.4";"2.6";"1.9";"1";"1";"1";"1";"1";"1";"Elston and Bressler (1980)";"Older than Striped Peak formation.";"0"
"174";"s";"Striped Peak formation";"US";"unit 1";"Laurentia-Wyoming";"48.1";"243.8";"1395";"1450";"1401 ± 6, 1443 ± 7";"Evans et al. (2000)";NULL;"g, s";"1423";"1";"27*";"R";"100";"45.2";"-20.3";"5.9";"22.9";"-19.1";"196.2";"3.3";"6.2";"4.5";"1";"1";"1";"0";"1";"0";"Elston and Bressler (1980)";"Equivalent to base Mt. Shields formation, max. age from Purcell lava, not sill.";"0"
"175";"s";"Upper Wallace formation";"US";NULL;"Laurentia-Wyoming";"48.1";"243.9";"1395";"1450";"1401 ± 6, 1443 ± 7";"Evans et al. (2000)";NULL;"g, s";"1423";"1";"9*";"R";"100";"39.6";"-15.1";"6.4";"65.1";"-24.2";"200.0";"3.4";"6.6";"4.7";"1";"0";"1";"0";"1";"0";"Elston and Bressler (1980)";"Equivalent to Shepard formation.";"0"
"176";"s";"Shepard formation";"US";NULL;"Laurentia-Wyoming";"47.2";"246.7";"1395";"1450";"1401 ± 6, 1443 ± 7";"Evans et al. (2000)";NULL;"g, s";"1423";"3";"83";"R";"100";"31.0";"-22.9";"2.8";"31.1";"-24.7";"212.8";"1.6";"3.0";"2.2";"1";"1";"1";"1";"1";"0";"Elston and Bressler (1980)";"Older than Mt.Shields formation.";"0"
"177";"s";"Snowslip formation";"US";NULL;"Laurentia-Wyoming";"47.0";"245.9";"1436";"1463";"1454 ± 9, 1443 ± 7";"Evans et al. (2000)";NULL;"s, g";"1450";"1";"84*";"M";"?";"217.1";"17.5";"3.9";"16.5";"-25.1";"204.4";"2.1";"4.1";"2.9";"1";"1";"1";"0";"1";"1";"Elston and Bressler (1980)";"Older than Shepard formation.";"0"
"178";"s";"Empire formation";"US";NULL;"Laurentia-Wyoming";"47.2";"247.4";"1445";"1470";"1457.5 ± 12.5";"Evans et al. (2000)";NULL;"g";"1458";"2";"30";"N";"0";"220.4";"26.2";"6.9";"15.7";"-19.1";"205.6";"4.0";"7.4";"5.4";"1";"1";"1";"0";"1";"0";"Elston and Bressler (1980)";"Older than Snowslip formation.";"0"
"179";"s";"Spokane formation";"US";NULL;"Laurentia-Wyoming";"47.3";"247.5";"1445";"1471";"1457.5 ± 12.5, 1468 ± 2";"Evans et al. (2000)";NULL;"s, g";"1459";"1";"42*";"N";"0";"210.8";"18.2";"5.2";"18.8";"-27.2";"212.9";"2.8";"5.4";"3.9";"1";"1";"1";"0";"1";"0";"Elston and Bressler (1980)";"Older than Empire formation. Predates Helena bentonite 1454 ± 9; probably postdates Moyie sills (soft-sediment intrusion into Prichard) U-Pb ages mainly ca. 1468 ± 2 Ma.";"0"
"182";"s";"Duffer formation";"AU";"M";"Pilbara";"-21.0";"119.6";"3200";"3471";"3452 ± 16, 3467 ± 4";"Pidgeon (1978)";NULL;"g";"3336";"11";"55";"N";"0";"335.5";"31.8";"8.4";"30.6";"43.9";"86.3";"5.3";"9.4";"7.2";"0";"1";"1";"1";"1";"0";"McElhinny and Senanayake (1980)";"Magnetite component (only high T component in basalts).";"0"
"183";"s";"Duffer formation";"AU";"H";"Pilbara";"-21.0";"119.6";"2400";"3471";"3452 ± 16, 3467 ± 4";"Pidgeon (1978)";NULL;"g";"2936";"6";"26";"N";"0";"243.5";"-29.7";"14.0";"23.7";"18.7";"182.9";"8.6";"15.5";"14.5";"0";"1";"1";"0";"1";"0";"McElhinny and Senanayake (1980)";"Post-folding magnetization.";"0"
"184";"s";"Duffer formation";"AU";"L";"Pilbara";"-21.0";"119.7";"542";"3471";"3452 ± 16";"Pidgeon (1978)";NULL;"g";"2007";"1";"5*";"R";"100";"6.8";"23.5";"14.8";"27.6";"55.4";"132.2";"8.4";"15.8";"12.5";"0";"0";"1";"0";"1";"0";"McElhinny and Senanayake (1980)";"Post-folding,suggested age ca. 3000 Ma but also matches early Cambrian and late Cryogenian poles.";"0"
"185";"i";"National kimberlite pipe";"ZA";NULL;"Kalahari";"-25.7";"28.5";"1124";"1156";"1140 ± 16, 1155 ± 30";"GPMDB 4.6";NULL;"e";"1140";"1";"11*";"R";"?";"221.0";"-72.9";"7.2";"41.0";"-20.5";"245.1";"11.4";"12.8";"12.1";"1";"0";"1";"0";"1";"0";"Hargraves and Onstott (1980)";"Located 11 km from Premier Mine kimberlite (3288).";"0"
"199";"i";"Dokhan volcanic formation";"EG";"A";"Red Sea Hills";"26.0";"33.0";"580";"611";"593 ± 13, 602 ± 9";"Wilde and Youssef (2000)";NULL;"g";"596";"5";"25";"R";"100";"194.3";"43.6";"12.1";"40.5";"36.1";"197.1";"9.4";"15.1";"11.9";"1";"1";"1";"0";"1";"0";"Davies et al. (1980)";NULL;"0"
