era,b_age,t_age,abbr,color
Paleoproterozoic,2500,1600,Paleoprot.,white
Mesoproterozoic,1600,1000,Mesoprot.,white
Neoproterozoic,1000,539,Neoprot.,white
Phanerozoic,539,0,Phan.,white
