,Terrane,ROCKNAME,-10.3,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME.1, POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Overlap_Comment,Pole_citation_code,Geochron_citation_code,Notes_Changes_from_Leirubakki,Plate_ID
0,Laurentia-Wyoming,Stillwater Complex - C2,new,,,,45.2,249.2,,74.0,171.0,-63.0,63.0,32.0,2.9,-83.6,335.8,3.5839589181444294,4.559272060892802,4.042306737851977,1.0,-63.0,-83.6,335.8,3.6,4.6,4.069397989875161,100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,A,2705.0,2701.0,2709.0,"2705±4, new",Stillwater Complex - C2,"Selkin, P.A., Gee, J.S., Meurer, W.P., Hemming, S.R.",2008.0,G-cubed,9,23pp,"Paleointensity record from the 2.7 Ga Stillwater Complex, Montana",Corresponds to Cenozoic/Present Local Field,\cite{Selkin2008a},,,10049
1,Laurentia-Superior(East),Otto Stock dikes and aureole,2629,N+R Component,"C*+,R-",0.0,48.0,279.900002,18.0,84.0,330.0,71.0,71.0,139.0,3.0,69.0,227.0,4.5,5.2,4.83735464897913,1.0,71.0,69.0,227.0,4.5,5.2,4.83735464897913,17or83,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,B,2676.0,2671.0,2681.0,"2680±1 for stock, but lamprophyre dykes are younger (ca.2670-2675), J.Ayers, pers.comm. 2008",Otto Stock Dykes and Aureole,"Pullaiah,G., Irving,E.",1975.0,Canad.J.Earth Sci.,12,1609-1618,"Paleomagnetism of the contact aureole and late dikes of the Otto Stock, Ontario, and its application to Early Proterozoic apparent polar wandering",Overlaps with Cenozoic,\cite{Pullaiah1975b},,,10043
2,Laurentia-Slave,Defeat Suite,new,,C*+,0.0,62.5,245.5,5.0,58.0,2.0,-47.0,47.0,30.0,14.0,-1.0,64.0,15.0,15.0,15.0,1.0,-47.0,-1.0,64.0,15.0,15.0,15.0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,B,2625.0,2620.0,2630.0,"2625, U-Pb: 2628 pm 3, 2624 pm4",Defeat Suite,"Mitchell, R.N., Bleeker, W., Van Breemen, O., LeCheminant, A.N., Peng, P., Nilsson, M.K.M., Evans, D.A.D.",2014.0,Am. J. Sci.,314,878-894,Plate tectonics before 2.0 Ga: Evidence from paleomagnetism of cratons within supercontinent Nuna,,\cite{Mitchell2014a},\cite{Davis1999a},,10041
3,Laurentia-Superior(East),Ptarmigan-Mistassini dikes,new,,,0.0,54.0,287.0,3.0,18.0,49.6,46.1,46.1,0.1,1000.0,-45.3,213.0,13.8,13.8,13.8,1.0,46.1,-45.3,213.0,13.8,13.8,13.8,0or100,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,B,2505.0,2503.0,2507.0,"2505±2, ",PTARMIGAN MEAN,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,\cite{Evans2010a},,,10043
4,Laurentia-Superior(East),Matachewan dikes R,new,,C+,0.0,48.0,278.0,,1000.0,207.6,-16.6,16.6,1000.0,0.1,-44.1,238.3,1.6,1.6,1.6,1.0,-16.6,-44.1,238.3,1.6,1.6,1.6,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,2466.0,2443.0,2489.0,"two ages, both U-Pb(z)",MATACHEWAN R,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,\cite{Evans2010a},,,10043
5,Laurentia-Superior(East),Matachewan dikes N,new,,C+,0.0,48.0,278.0,,1000.0,23.3,29.1,29.1,1000.0,0.1,-52.3,239.5,2.4,2.4,2.4,1.0,29.1,-52.3,239.5,2.4,2.4,2.4,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,2446.0,2443.0,2449.0,"2446±3, ",MATACHEWAN N,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,\cite{Evans2010a},,,10043
6,Laurentia-Slave,Malley dikes,13555,,C*+,0.0,64.2,249.8,9.0,45.0,138.3,-53.8,53.8,81.0,5.8,-50.8,310.0,6.7,6.7,6.7,1.0,-53.8,-50.8,310.0,6.7,6.7,6.7,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,A,2231.0,2229.0,2233.0,"2231, U-Pb (b); authors",Malley dykes,"Buchan, K., LeCheminant, A.N., van Breemen, O.",2012.0,Can. J. Earth Sci.,49,435-454,"Malley diabase dykes of the Slave craton, Canadian Shield: U-Pb age, paleomagnetism, and implications for continental reconstructions in the early Paleoproterozoic",Corresponds with Mesozoic APWP,\cite{Buchan2012a},U–Pb baddeleyite date of 2231 ± 2 Ma in \cite{Buchan2012a},,10041
7,Laurentia-Superior(East),Senneterre dikes,B+93,,C+,0.0,49.0,283.0,6.0,1000.0,358.6,-43.9,43.9,1000.0,0.1,-15.3,284.3,4.4,7.0,5.549774770204643,1.0,-43.9,-15.3,284.3,6.0,6.0,6.0,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,2218.0,2212.0,2224.0,"2216+8/-4, ",SENNETERRE,Buchan et al.,1993.0,Can. J. Earth Sci.,30,1286-1296,Northeast-trending Early Proterozoic dykes of southern Superior Province: multiple episodes of emplacement recognized from integrated paleomagnetism and U-Pb geochronology,,\cite{Buchan1993a},,changed dp/dm to match Buchan1993,10043
8,Laurentia-Superior(East),Nipissing N1 sills,B+00,,C+,0.0,47.0,279.0,,1000.0,7.4,-43.9,43.9,1000.0,0.1,-17.0,272.0,10.0,10.0,10.0,1.0,-43.9,-17.0,272.0,10.0,10.0,10.0,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,2217.0,2213.0,2221.0,"2217±4, ",NIPISSING N1,Buchan et al.,2000.0,Tectonophysics,319,167-198,Comparing the drift of Laurentia and Baltica in the Proterozoic: the importance of key palaeomagnetic poles,,\cite{Buchan2000a},,,10043
9,Laurentia-Slave,Dogrib dikes,9406,,C+,0.0,62.5,245.5,14.0,134.0,302.0,33.0,33.0,34.0,7.0,-31.0,315.0,7.0,7.0,7.0,1.0,33.0,-31.0,315.0,7.0,7.0,7.0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,2193.0,2191.0,2195.0,"2193, U-Pb (b); authors",Dogrib dykes,"Mitchell, R.N., Bleeker, W., Van Breemen, O., LeCheminant, A.N., Peng, P., Nilsson, M.K.M., Evans, D.A.D.",2014.0,Am. J. Sci.,314,878-894,Plate tectonics before 2.0 Ga: Evidence from paleomagnetism of cratons within supercontinent Nuna,,\cite{Mitchell2014a},U–Pb baddeleyite date 2193 ± 2 Ma in \cite{Mitchell2014a},,10041
