Q,A95,Com,Formation,Lat,Lon,CLat,CLon,RLat,RLon,EULER,Age,GPDB RefNo/Reference,RLat_Laur,RLon_Laur
4,3.6,,West Eifel volcanics,-80.6,267.5,-80.6,267.5,-80.6,-92.3,( 18.3/-47/ .1),0.5,"1513,T",,
4,4.4,,East Eifel volcanics,-86.4,296.1,-86.4,296.1,-86.4,-63.1,( 18.3/-47/ .1),0.5,"1505,T",,
3,12.9,,Volcanics NW Germany,-84.3,357.7,-84.3,357.7,-83.9,5.8,( 18/-26.7/ 1),8,"56,T",,
5,1.8,N,"Prado section, Teruel, Spain",-78.9,328.3,-78.9,328.3,-78.9,-25.8,( 17.9/-26.4/ 1.1),9.5,Abels et al. (2009),,
5,3.5,N,"Cascante, Spain",-77.4,314.2,-77.4,314.2,-77.7,-40.4,( 18.5/-26.3/ 1.2),10,Abdul Aziz et al. (2004),,
5,6.9,,Velay Oriental volcanics,-84.1,351.2,-84.1,351.2,-83.6,3,( 19.7/-25.7/ 1.4),11.5,"3324,T",,
5,1.5,N,"Orera, Spain",-72.4,352,-72.4,352,-71.9,-3.5,( 19.6/-25.5/ 1.5),12,Abdul Aziz et al. (2000),,
4,4.4,,Volcanics Germany,-77.8,310.8,-77.8,310.8,-78.9,-36.2,( 20/-19.7/ 2.9),24,"3282,T",,
3,3.4,,Hocheifel volcanics,-80.8,2,-80.8,2,-78,26.5,( 26.8/-19.5/ 5.5),34,"1506,T",,
5,6.8,N,Lower Paleogene mudstone,-63.7,358.6,-76.7,357.2,-72.2,30.6,( 30.5/-15.7/ 10.3),52,3534,,
5,1.5,,"Lundy island dikes, Wales",-83,335,-83,335,-78.2,41.3,( 34.5/-15.7/ 12.4),59,755,,
5,3.5,,"Vaternish dyke swarm, Scotland",-76,340,-76,340,-72.9,22.7,( 34.5/-15.7/ 12.4),59,"85,T",,
5,1.2,,"Arran dikes, Scotland",-81.7,359.8,-81.7,359.8,-74.9,46.3,( 34.6/-15.7/ 12.5),59.4,"1041,T",,
5,2.8,N,Arran intrusives and extrusives,-80.2,339.6,-80.2,339.6,-76,33.2,( 34.6/-15.7/ 12.5),59.5,6090,,
4,1.5,,"Sleat dikes, Scotland",-82.5,338,-82.5,338,-77.6,40.6,( 34.7/-15.7/ 12.5),59.8,"1174,T",,
5,5.7,N,"Sky lavas, Scotland",-77.7,325.4,-77.7,325.4,-76.2,18,( 34.7/-15.7/ 12.5),59.8, Rousse et al. (2011),,
4,2.7,,"Ardnamurchan complex, Scotland",-77,355,-77,355,-71.5,34.4,( 34.8/-15.7/ 12.6),60,"1377,T",,
6,4.5,,Faeroe flood volcanics,-71.4,334.7,-71.4,334.7,-69.8,11.3,( 34.8/-15.7/ 12.6),60.1,"3494,T",,
6,2.4,,"Rhum and Canna igneous, Scotland",-81,359,-81,359,-74.3,44.8,( 34.9/-15.7/ 12.7),60.7,"1169,T",,
6,4.7,N,"Mull lavas, Scotland",-73.3,346.2,-73.3,346.2,-69.5,23.1,( 35/-15.7/ 12.8),60.9,Ganerød et al. (2008),,
5,4.7,N,"Antrim Lava, Ireland",-78.9,347,-78.9,347,-74,34.1,( 35/-15.7/ 12.8),61,Ganerød et al. (2010),,
5,2.7,,Muck and Eigg igneous,-74,351,-74,351,-69.4,27.5,( 35.1/-15.7/ 12.8),61.2,"1204,T",,
6,3.4,N,"Aix-en-Provence, France",-79.1,344.5,-84.9,222.9,-82.4,95.9,( 35.8/-16/ 14.6),68,Cojan & Moreau (2006),,
7,8,,"Aix-en-Provence sediments,  France",-73,336,-73,336,-69.8,21.1,( 35.4/-15.7/ 15.2),74,"2394,T",,
5,3,,"Dagestan limstones, Caucasus",-74,341,-74,341,-67.7,35.4,( 37.5/-14/ 19.5),86,"3037,T",,
5,3,,"Dagestan limstones, Caucasus",-74,328,-74,328,-70.4,28.7,( 37.5/-14/ 19.5),86,"3037,T",,
4,5,,"Munsterland Turonian, Germany",-68,329,-68,329,-65.1,22.3,( 39.2/-13.6/ 21.8),89.5,"1507,T",,
5,4,,Munster Basin limestone,-76,1,-76,1,-62.9,54.7,( 39.4/-13.7/ 24.2),93,"1495,T",,
6,2.5,N,Mongolia/Siberia Cretaceous Volcanics,-80.8,338.4,-80.8,338.4,-63.2,70.6,( 41.6/-10.1/ 34.1),108,van Hinsbergen (2008),,
6,2.9,,Berriasian limestones,-74,3,-74,3,-48,82.4,( 45.9/-3.4/ 48.4),140,"1397,T",,
5,6,,"Jura Blue limestone, Switzerland",-78,328,-78,328,-56,87.9,( 48.4/-1.1/ 52.8),156.5,"1337,T",,
3,3.9,,Oxfordian sediments,-70,327,-70,327,-54.5,74.3,( 48.5/-1/ 53),157,"616,T",,
5,7,,"Terres Noires, France",-78,310,-78,310,-59.5,88.7,( 48.6/-.9/ 53.4),158,"3156,T",,
4,4,,"Subtatric Nappe sediments, Poland",-72,312,-72,312,-59.3,77.2,( 48.7/-.8/ 53.8),159,"1948,T",,
6,7.3,,"Limestones, Krakow-Czestochowa Upland",-72,330,-72,330,-53.9,78.9,( 48.7/-.8/ 53.8),160,"1948,T",,
7,6.3,,Jurassic sediments,-63,300,-63,300,-62.2,62.5,( 49.8/ .3/ 57),168,"1514,T",,
6,6.8,,Scania basalts (179±6 Ma),-69,283,-69,283,-65.8,82.6,( 49.4/ .2/ 60.3),179,"2729,T",,
6,12,,"Thouars and Airvault Sections, France",-71,276,-71,276,-65.6,90.9,( 49.2/ 0/ 61.8),184,"1427,T",,
5,5.1,N,Paris Basin drillcore,-66,295.2,-66,295.2,-60.6,75.2,( 49.1/-.1/ 62.3),186,3554,,
4,3,,Liassic sediments,-77,315,-77,315,-52.1,94.8,( 48.7/ 0/ 63.6),192,"1467,T",,
5,7.5,,"Kerforne dykes, France",-61,259,-61,259,-76,88.7,( 48.1/ .7/ 63.1),198,"2743,T",,
6,9,,Hettangian-Sinemurian limestone,-55,280,-55,280,-69.1,54,( 47.8/ 1.1/ 62.5),201,"3141,T",,
7,3,,Paris Basin sediments,-51,285,-51,285,-65.8,44.1,( 47.8/ 1.1/ 62.5),201,"3029,T",,
6,4.5,N," Andesites, Ukraine",-50,286.4,-50,286.4,-65.3,41.7,( 47.6/ 1.6/ 61.9),204.2, Yuan et al. (2011),,
6,8,,"Rhaetian sediments, Germany, France",-50,292,-58,272.9,-73.6,65.6,( 47.3/ 2.2/ 61.1),208,"3141,T",,
5,5.1,,"Merci mudstone, Somerset",-50,308,-58.2,298.2,-61.7,60.7,( 46.6/ 3.2/ 59.5),215,"3311,T",,
5,4.6,,Sunnhordland dike,-50,305,-50,305,-56.9,45.8,( 46/ 3.9/ 58.2),221,"T, Walderhaug (1993)",,
6,6,,Gipskeuper sediments,-49,311,-49,311,-52.9,46.9,( 46/ 3.9/ 58.2),226,"3141,T",,
5,2.9,N,"Taimyr Sills, Siberia",-47.1,301.6,-47.1,301.6,-57.8,39.2,( 46/ 3.9/ 58.2),228,Walderhaug et al. (2005) ,,
6,3,,"Heming limestone, France",-54,321,-54,321,-49.4,58.3,( 46/ 3.9/ 58.2),234,"2411,T",,
6,12,,"Musschelkalk carbonates, Poland",-53,303,-53,303,-59.1,50.4,( 46/ 3.9/ 58.2),234,"3253,T",,
5,15,,"Bunter and Musschelkalk, Germany",-49,326,-56.5,318.6,-51.6,61.2,( 46/ 3.9/ 58.2),239,"158,T",,
6,5,,"Upper Buntsandstein, France",-43,326,-47.8,322.2,-45.8,50.6,( 46/ 3.9/ 58.2),243,"1028,T",,
6,3.8,N,"Volpriehausen Formation, Germany",-49,348.2,-57,344.7,-39.2,71.2,( 46/ 3.9/ 58.2),246,Szurlies (2004) ,,
6,7.8,N,"Taimyr basalts, Siberia",-59.3,325.8,-59.3,325.8,-49,67.4,( 46/ 3.9/ 58.2),248, Walderhaug et al. (2005) ,,
7,3.3,,"German Trias, Lower Buntstein",-50.6,345.6,-58.8,341,-41.8,71.7,( 46/ 3.9/ 58.2),249,"T, Szurlies et al. (2003)",,
3,10,N,"Taimyr Siberian Traps, Siberia ",-59,330,-59,330,-46.9,68.2,( 46/ 3.9/ 58.2),250,2832,,
6,3.3,N,"Siberian Traps, Siberia ",-56.2,326,-56.2,326,-47.7,63.2,( 46/ 3.9/ 58.2),251,Gurevitch et al. (2004),,
