,age,latitude,longitude
0,538.0,-26.1114641581,-155.898361761
1,537.0,-23.9435504716,-154.51576571
2,536.0,-21.7760913065,-153.156150375
3,535.0,-19.6103607619,-151.814469342
4,534.0,-17.4475818284,-150.48605034
5,533.0,-15.2889431175,-149.166527678
6,532.0,-13.1356138461,-147.851783632
7,531.0,-10.9887575037,-146.537897224
8,530.0,-8.74009041399,-144.914179662
9,529.0,-6.49223923363,-143.298899124
10,528.0,-4.24690439365,-141.687087682
11,527.0,-2.00577668174,-140.073889888
12,526.0,0.229443402924,-138.454516062
13,525.0,2.45702664655,-136.82419805
14,524.0,4.67519611386,-135.178146979
15,523.0,6.88210780295,-133.511512649
16,522.0,9.07583064288,-131.819344314
17,521.0,11.2543255281,-130.096552748
18,520.0,12.777063114,-128.814277696
19,519.0,14.2978153404,-127.522233157
20,518.0,15.8158851313,-126.218530885
21,517.0,17.3305532615,-124.901217227
22,516.0,18.8410740484,-123.568264238
23,515.0,20.3466707522,-122.217560414
24,514.0,20.5213366172,-121.319970469
25,513.0,20.6943675363,-120.41566138
26,512.0,20.8655488595,-119.504667087
27,511.0,21.0346615236,-118.587024904
28,510.0,21.201482229,-117.662775841
29,509.0,21.3245674822,-116.841405734
30,508.0,21.4411936511,-116.016354827
31,507.0,21.5511782995,-115.187761311
32,506.0,21.6543405907,-114.355770387
33,505.0,21.7505015445,-113.520534305
34,504.0,21.8394842976,-112.682212384
35,503.0,21.9211143658,-111.840971012
36,502.0,21.9952199077,-110.996983614
37,501.0,22.0616319889,-110.150430602
38,500.0,22.1201848456,-109.301499297
39,499.0,22.0082138368,-108.646336754
40,498.0,21.89238087,-107.990275436
41,497.0,21.7726180916,-107.333422527
42,496.0,21.6488588372,-106.675885983
43,495.0,21.5210376915,-106.017774476
44,494.0,21.3890905461,-105.359197334
45,493.0,21.2529546558,-104.700264474
46,492.0,21.1125686935,-104.041086338
47,491.0,20.9678728027,-103.38177383
48,490.0,20.818808648,-102.722438239
49,489.0,20.6653194643,-102.063191173
50,488.0,20.240522432,-101.835472782
51,487.0,19.8142292489,-101.61133917
52,486.0,19.3864659228,-101.390765904
53,485.0,18.9572583193,-101.173728653
54,484.0,18.5266321606,-100.9602032
55,483.0,18.0946130252,-100.750165448
56,482.0,17.6612263474,-100.543591434
57,481.0,17.226497417,-100.340457337
58,480.0,16.4720290967,-100.638101734
59,479.0,15.7187876812,-100.935404301
60,478.0,14.9667895796,-101.232369915
61,477.0,14.2160513039,-101.52900258
62,476.0,13.4665894718,-101.825305447
63,475.0,12.7184208095,-102.121280823
64,474.0,11.9715621542,-102.416930191
65,473.0,11.2260304568,-102.712254218
66,472.0,10.4818427849,-103.007252763
67,471.0,9.73901632555,-103.301924886
68,470.0,8.99756838769,-103.596268854
69,469.0,7.93975670697,-104.293675261
70,468.0,6.88080997568,-104.980191846
71,467.0,5.82090183474,-105.656125403
72,466.0,4.76020100316,-106.32176594
73,465.0,3.69887161408,-106.977387269
74,464.0,2.63707353264,-107.623247547
75,463.0,1.57496265658,-108.259589789
76,462.0,0.512691201145,-108.886642338
77,461.0,-0.549592030758,-109.5046193
78,460.0,-1.61174139204,-110.113720944
79,459.0,-2.67361414749,-110.714134065
80,458.0,-3.86093790527,-111.264298905
81,457.0,-5.04975145535,-111.793651635
82,456.0,-6.23962923647,-112.302341207
83,455.0,-7.43015137565,-112.790482349
84,454.0,-8.62090267765,-113.258155252
85,453.0,-9.81147162368,-113.705405205
86,452.0,-11.0014493765,-114.132242182
87,451.0,-12.1904287885,-114.538640377
88,450.0,-13.3780034103,-114.924537674
89,449.0,-14.2059309644,-114.390713397
90,448.0,-15.0139038712,-113.824344161
91,447.0,-15.8007780935,-113.225616643
