,age,latitude,longitude
0,1799.0,56.0026161339,107.053523093
1,1798.0,56.4098767008,106.909297884
2,1797.0,56.8164562289,106.757373613
3,1796.0,57.2223157874,106.597495653
4,1795.0,57.627414788,106.429397885
5,1794.0,58.0317108867,106.252802129
6,1793.0,58.4351598791,106.067417548
7,1792.0,58.8377155897,105.872940023
8,1791.0,59.2393297533,105.669051501
9,1790.0,59.6399518888,105.455419309
10,1789.0,60.039529165,105.23169544
11,1788.0,60.4380062572,104.997515806
12,1787.0,60.8353251948,104.75249946
13,1786.0,61.2314251988,104.49624779
14,1785.0,61.6262425083,104.228343676
15,1784.0,62.019710196,103.94835062
16,1783.0,62.4117579715,103.655811854
17,1782.0,62.8023119719,103.350249408
18,1781.0,63.1912945386,103.031163172
19,1780.0,63.5786239799,102.69802992
20,1779.0,63.5723958674,103.092973012
21,1778.0,63.5643811141,103.487654683
22,1777.0,63.554581431,103.882009674
23,1776.0,63.542998907,104.275972988
24,1775.0,63.5296360076,104.669479946
25,1774.0,63.5144955714,105.062466237
26,1773.0,63.4975808083,105.454867967
27,1772.0,63.4788952955,105.846621714
28,1771.0,63.4584429744,106.237664571
29,1770.0,63.4362281465,106.627934197
30,1769.0,63.4122554694,107.017368861
31,1768.0,63.3865299518,107.405907491
32,1767.0,63.3590569492,107.793489717
33,1766.0,63.329842158,108.18005591
34,1765.0,63.298891611,108.56554723
35,1764.0,63.2662116707,108.949905659
36,1763.0,63.2318090238,109.333074047
37,1762.0,63.1956906748,109.714996139
38,1761.0,63.1578639397,110.09561662
39,1760.0,63.1183364389,110.474881141
40,1759.0,63.0771160904,110.852736355
41,1758.0,63.0342111027,111.229129943
42,1757.0,62.9896299676,111.604010645
43,1756.0,62.9433814523,111.977328288
44,1755.0,62.8954745921,112.349033802
45,1754.0,62.8459186826,112.719079253
46,1753.0,62.7947232714,113.087417857
47,1752.0,62.7418981505,113.454004001
48,1751.0,62.687453348,113.818793257
49,1750.0,62.6313991198,114.181742402
50,1749.0,62.5737459414,114.542809428
51,1748.0,62.5145044997,114.901953555
52,1747.0,62.4536856843,115.259135237
53,1746.0,62.3913005794,115.614316176
54,1745.0,62.3273604554,115.967459322
55,1744.0,62.2618767601,116.318528882
56,1743.0,62.1948611108,116.667490319
57,1742.0,62.1263252857,117.014310358
